executionLog | INFO flwr 2024-06-14 13:40:26,372 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
executionLog | INFO flwr 2024-06-14 15:27:12,431 | server.py:494 | 	('\tround 0: 48677.202743291855\n'
executionLog | INFO flwr 2024-06-14 15:27:12,432 | server.py:494 | 	 '\tround 1: 21750.472576440778\n'
executionLog | INFO flwr 2024-06-14 15:27:12,433 | server.py:494 | 	 '\tround 2: 16610.878663953208\n'
executionLog | INFO flwr 2024-06-14 15:27:12,434 | server.py:494 | 	 '\tround 3: 16490.979146000132\n'
executionLog | INFO flwr 2024-06-14 15:27:12,435 | server.py:494 | 	 '\tround 4: 16362.034424762916\n'
executionLog | INFO flwr 2024-06-14 15:27:12,435 | server.py:494 | 	 '\tround 5: 16130.456864548813\n')History (metrics, centralized):
executionLog | INFO flwr 2024-06-14 15:27:12,436 | server.py:494 | 	{'accuracy': [(0, 0.0098),
executionLog | INFO flwr 2024-06-14 15:27:12,437 | server.py:494 | 	              (1, 0.4463),
executionLog | INFO flwr 2024-06-14 15:27:12,437 | server.py:494 | 	              (2, 0.5699),
executionLog | INFO flwr 2024-06-14 15:27:12,438 | server.py:494 | 	              (3, 0.6071),
executionLog | INFO flwr 2024-06-14 15:27:12,439 | server.py:494 | 	              (4, 0.6227),
executionLog | INFO flwr 2024-06-14 15:27:12,439 | server.py:494 | 	              (5, 0.6378)]}
executionLog | INFO flwr 2024-06-14 15:27:12,440 | server.py:495 | 
executionLog | INFO flwr 2024-06-14 15:27:35,456 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
executionLog | INFO flwr 2024-06-14 15:27:43,400 | app.py:213 | Flower VCE: Ray initialized with resources: {'memory': 4969041102.0, 'object_store_memory': 2484520550.0, 'node:127.0.0.1': 1.0, 'GPU': 1.0, 'CPU': 20.0, 'node:__internal_head__': 1.0}
executionLog | INFO flwr 2024-06-14 15:27:43,400 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
executionLog | INFO flwr 2024-06-14 15:27:43,401 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
executionLog | INFO flwr 2024-06-14 15:27:43,413 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
executionLog | INFO flwr 2024-06-14 15:27:43,414 | server.py:92 | [INIT]
executionLog | INFO flwr 2024-06-14 15:27:43,414 | server.py:279 | Requesting initial parameters from one random client
executionLog | INFO flwr 2024-06-14 15:27:50,297 | server.py:285 | Received initial parameters from one random client
executionLog | INFO flwr 2024-06-14 15:27:50,298 | server.py:94 | Evaluating initial global parameters
executionLog | INFO flwr 2024-06-14 15:28:52,629 | server.py:97 | initial parameters (loss, other metrics): 48400.00757455826, {'accuracy': 0.0102}
executionLog | INFO flwr 2024-06-14 15:28:52,629 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 15:28:52,630 | server.py:111 | [ROUND 1]
executionLog | INFO flwr 2024-06-14 15:28:52,630 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 15:41:47,186 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 15:41:48,345 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 15:42:48,342 | server.py:129 | fit progress: (1, 40700.230939507484, {'accuracy': 0.1699}, 835.712803900009)
executionLog | INFO flwr 2024-06-14 15:42:48,342 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 15:49:05,396 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 15:49:05,397 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 15:49:05,398 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 15:49:05,399 | server.py:111 | [ROUND 2]
executionLog | INFO flwr 2024-06-14 15:49:05,400 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:02:05,214 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:03:09,182 | server.py:129 | fit progress: (2, 34320.4445540607, {'accuracy': 0.4082}, 2056.5533899000147)
executionLog | INFO flwr 2024-06-14 16:03:09,183 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:09:31,576 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:09:31,577 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 16:09:31,578 | server.py:111 | [ROUND 3]
executionLog | INFO flwr 2024-06-14 16:09:31,578 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:22:36,790 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:23:33,482 | server.py:129 | fit progress: (3, 35426.02527487278, {'accuracy': 0.4036}, 3280.8529117)
executionLog | INFO flwr 2024-06-14 16:23:33,482 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:29:49,155 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:29:49,156 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 16:29:49,158 | server.py:111 | [ROUND 4]
executionLog | INFO flwr 2024-06-14 16:29:49,160 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:42:50,265 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:43:51,218 | server.py:129 | fit progress: (4, 24872.29215085134, {'accuracy': 0.5289}, 4498.589729300002)
executionLog | INFO flwr 2024-06-14 16:43:51,219 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 16:50:12,520 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 16:50:12,521 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 16:50:12,522 | server.py:111 | [ROUND 5]
executionLog | INFO flwr 2024-06-14 16:50:12,523 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 17:03:16,173 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 17:06:48,555 | server.py:129 | fit progress: (5, 25359.218104317784, {'accuracy': 0.5395}, 5875.925981600012)
executionLog | INFO flwr 2024-06-14 17:06:48,556 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 17:13:11,017 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 17:13:11,054 | server.py:487 | 
executionLog | INFO flwr 2024-06-14 17:13:11,054 | server.py:488 | [SUMMARY]
executionLog | INFO flwr 2024-06-14 17:13:11,054 | server.py:489 | Run finished 5 rounds in 6258.39s
executionLog | INFO flwr 2024-06-14 17:13:11,055 | server.py:492 | History (loss, distributed):
executionLog | INFO flwr 2024-06-14 17:13:11,055 | server.py:494 | 	('\tround 1: 40700.230939507484\n'
executionLog | INFO flwr 2024-06-14 17:13:11,055 | server.py:494 | 	 '\tround 2: 34320.4445540607\n'
executionLog | INFO flwr 2024-06-14 17:13:11,055 | server.py:494 | 	 '\tround 3: 35426.02527487278\n'
executionLog | INFO flwr 2024-06-14 17:13:11,056 | server.py:494 | 	 '\tround 4: 24872.29215085134\n'
executionLog | INFO flwr 2024-06-14 17:13:11,056 | server.py:494 | 	 '\tround 5: 25359.21810431778\n')History (loss, centralized):
executionLog | INFO flwr 2024-06-14 17:13:11,056 | server.py:494 | 	('\tround 0: 48400.00757455826\n'
executionLog | INFO flwr 2024-06-14 17:13:11,057 | server.py:494 | 	 '\tround 1: 40700.230939507484\n'
executionLog | INFO flwr 2024-06-14 17:13:11,057 | server.py:494 | 	 '\tround 2: 34320.4445540607\n'
executionLog | INFO flwr 2024-06-14 17:13:11,057 | server.py:494 | 	 '\tround 3: 35426.02527487278\n'
executionLog | INFO flwr 2024-06-14 17:13:11,057 | server.py:494 | 	 '\tround 4: 24872.29215085134\n'
executionLog | INFO flwr 2024-06-14 17:13:11,057 | server.py:494 | 	 '\tround 5: 25359.218104317784\n')History (metrics, centralized):
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	{'accuracy': [(0, 0.0102),
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	              (1, 0.1699),
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	              (2, 0.4082),
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	              (3, 0.4036),
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	              (4, 0.5289),
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:494 | 	              (5, 0.5395)]}
executionLog | INFO flwr 2024-06-14 17:13:11,059 | server.py:495 | 
executionLog | INFO flwr 2024-06-14 17:13:49,389 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
executionLog | INFO flwr 2024-06-14 17:13:56,610 | app.py:213 | Flower VCE: Ray initialized with resources: {'memory': 5655856743.0, 'object_store_memory': 2827928371.0, 'node:127.0.0.1': 1.0, 'GPU': 1.0, 'CPU': 20.0, 'node:__internal_head__': 1.0}
executionLog | INFO flwr 2024-06-14 17:13:56,610 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
executionLog | INFO flwr 2024-06-14 17:13:56,611 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
executionLog | INFO flwr 2024-06-14 17:13:56,617 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
executionLog | INFO flwr 2024-06-14 17:13:56,617 | server.py:92 | [INIT]
executionLog | INFO flwr 2024-06-14 17:13:56,617 | server.py:279 | Requesting initial parameters from one random client
executionLog | INFO flwr 2024-06-14 17:14:00,528 | server.py:285 | Received initial parameters from one random client
executionLog | INFO flwr 2024-06-14 17:14:00,528 | server.py:94 | Evaluating initial global parameters
executionLog | INFO flwr 2024-06-14 17:15:02,269 | server.py:97 | initial parameters (loss, other metrics): 23913.953524291515, {'accuracy': 0.1146}
executionLog | INFO flwr 2024-06-14 17:15:02,270 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 17:15:02,270 | server.py:111 | [ROUND 1]
executionLog | INFO flwr 2024-06-14 17:15:02,270 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 17:22:50,623 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 17:22:51,724 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 17:23:48,183 | server.py:129 | fit progress: (1, 7689.538722996294, {'accuracy': 0.7573}, 525.9126930000202)
executionLog | INFO flwr 2024-06-14 17:23:48,184 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 17:30:12,489 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 17:30:12,490 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 17:30:12,490 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 17:30:12,491 | server.py:111 | [ROUND 2]
executionLog | INFO flwr 2024-06-14 17:30:12,492 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 17:38:12,091 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 17:58:07,608 | server.py:129 | fit progress: (2, 5042.889513088638, {'accuracy': 0.8361}, 2585.337722700002)
executionLog | INFO flwr 2024-06-14 17:58:07,609 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:04:32,421 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:04:32,422 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 18:04:32,423 | server.py:111 | [ROUND 3]
executionLog | INFO flwr 2024-06-14 18:04:32,424 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:12:29,729 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:13:34,435 | server.py:129 | fit progress: (3, 4991.173688889031, {'accuracy': 0.8549}, 3512.1645739000232)
executionLog | INFO flwr 2024-06-14 18:13:34,436 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:19:57,025 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:19:57,026 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 18:19:57,027 | server.py:111 | [ROUND 4]
executionLog | INFO flwr 2024-06-14 18:19:57,027 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:27:58,858 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:28:58,332 | server.py:129 | fit progress: (4, 4859.0185999776195, {'accuracy': 0.8634}, 4436.0622242000245)
executionLog | INFO flwr 2024-06-14 18:28:58,333 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:35:19,011 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:35:19,012 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 18:35:19,012 | server.py:111 | [ROUND 5]
executionLog | INFO flwr 2024-06-14 18:35:19,013 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:43:15,616 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:46:58,917 | server.py:129 | fit progress: (5, 4751.030931837993, {'accuracy': 0.8718}, 5516.647235100012)
executionLog | INFO flwr 2024-06-14 18:46:58,918 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 18:53:22,720 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 18:53:22,753 | server.py:487 | 
executionLog | INFO flwr 2024-06-14 18:53:22,754 | server.py:488 | [SUMMARY]
executionLog | INFO flwr 2024-06-14 18:53:22,755 | server.py:489 | Run finished 5 rounds in 5900.45s
executionLog | INFO flwr 2024-06-14 18:53:22,755 | server.py:492 | History (loss, distributed):
executionLog | INFO flwr 2024-06-14 18:53:22,756 | server.py:494 | 	('\tround 1: 7689.538722996294\n'
executionLog | INFO flwr 2024-06-14 18:53:22,756 | server.py:494 | 	 '\tround 2: 5042.889513088638\n'
executionLog | INFO flwr 2024-06-14 18:53:22,757 | server.py:494 | 	 '\tround 3: 4991.173688889032\n'
executionLog | INFO flwr 2024-06-14 18:53:22,757 | server.py:494 | 	 '\tround 4: 4859.0185999776195\n'
executionLog | INFO flwr 2024-06-14 18:53:22,757 | server.py:494 | 	 '\tround 5: 4751.030931837993\n')History (loss, centralized):
executionLog | INFO flwr 2024-06-14 18:53:22,759 | server.py:494 | 	('\tround 0: 23913.953524291515\n'
executionLog | INFO flwr 2024-06-14 18:53:22,759 | server.py:494 | 	 '\tround 1: 7689.538722996294\n'
executionLog | INFO flwr 2024-06-14 18:53:22,759 | server.py:494 | 	 '\tround 2: 5042.889513088638\n'
executionLog | INFO flwr 2024-06-14 18:53:22,760 | server.py:494 | 	 '\tround 3: 4991.173688889031\n'
executionLog | INFO flwr 2024-06-14 18:53:22,760 | server.py:494 | 	 '\tround 4: 4859.0185999776195\n'
executionLog | INFO flwr 2024-06-14 18:53:22,761 | server.py:494 | 	 '\tround 5: 4751.030931837993\n')History (metrics, centralized):
executionLog | INFO flwr 2024-06-14 18:53:22,761 | server.py:494 | 	{'accuracy': [(0, 0.1146),
executionLog | INFO flwr 2024-06-14 18:53:22,762 | server.py:494 | 	              (1, 0.7573),
executionLog | INFO flwr 2024-06-14 18:53:22,762 | server.py:494 | 	              (2, 0.8361),
executionLog | INFO flwr 2024-06-14 18:53:22,762 | server.py:494 | 	              (3, 0.8549),
executionLog | INFO flwr 2024-06-14 18:53:22,763 | server.py:494 | 	              (4, 0.8634),
executionLog | INFO flwr 2024-06-14 18:53:22,763 | server.py:494 | 	              (5, 0.8718)]}
executionLog | INFO flwr 2024-06-14 18:53:22,764 | server.py:495 | 
executionLog | INFO flwr 2024-06-14 18:53:45,266 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
executionLog | INFO flwr 2024-06-14 18:53:52,744 | app.py:213 | Flower VCE: Ray initialized with resources: {'memory': 5690349159.0, 'object_store_memory': 2845174579.0, 'node:127.0.0.1': 1.0, 'GPU': 1.0, 'CPU': 20.0, 'node:__internal_head__': 1.0}
executionLog | INFO flwr 2024-06-14 18:53:52,744 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
executionLog | INFO flwr 2024-06-14 18:53:52,744 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
executionLog | INFO flwr 2024-06-14 18:53:52,751 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
executionLog | INFO flwr 2024-06-14 18:53:52,752 | server.py:92 | [INIT]
executionLog | INFO flwr 2024-06-14 18:53:52,752 | server.py:279 | Requesting initial parameters from one random client
executionLog | INFO flwr 2024-06-14 18:53:57,903 | server.py:285 | Received initial parameters from one random client
executionLog | INFO flwr 2024-06-14 18:53:57,904 | server.py:94 | Evaluating initial global parameters
executionLog | INFO flwr 2024-06-14 18:54:59,734 | server.py:97 | initial parameters (loss, other metrics): 24595.701795578003, {'accuracy': 0.0894}
executionLog | INFO flwr 2024-06-14 18:54:59,735 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 18:54:59,736 | server.py:111 | [ROUND 1]
executionLog | INFO flwr 2024-06-14 18:54:59,736 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:02:42,947 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 19:02:44,176 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 19:03:39,426 | server.py:129 | fit progress: (1, 22742.99741792679, {'accuracy': 0.1748}, 519.6910831999849)
executionLog | INFO flwr 2024-06-14 19:03:39,427 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:10:04,122 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 19:10:04,122 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 19:10:04,123 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 19:10:04,123 | server.py:111 | [ROUND 2]
executionLog | INFO flwr 2024-06-14 19:10:04,123 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:17:55,515 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 19:18:57,310 | server.py:129 | fit progress: (2, 11490.574145661667, {'accuracy': 0.7533}, 1437.575096799992)
executionLog | INFO flwr 2024-06-14 19:18:57,310 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:25:20,913 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 19:25:20,914 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 19:25:20,915 | server.py:111 | [ROUND 3]
executionLog | INFO flwr 2024-06-14 19:25:20,916 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:33:08,242 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 19:34:08,827 | server.py:129 | fit progress: (3, 12542.744244761765, {'accuracy': 0.7337}, 2349.092102099996)
executionLog | INFO flwr 2024-06-14 19:34:08,827 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:40:31,962 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 19:40:31,963 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 19:40:31,963 | server.py:111 | [ROUND 4]
executionLog | INFO flwr 2024-06-14 19:40:31,963 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 19:48:21,948 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 19:49:21,925 | server.py:129 | fit progress: (4, 18071.670976161957, {'accuracy': 0.6579}, 3262.189321599988)
